Mapping file: gcpt_meas_lab_loinc_mod.csv

Found 685 relevant mappings in tokenizer. Please try to manually map this file!!!



Found codes in tokenizer:
Code                                                         Domain                                                       OMOP Code                                                   
51095                                                        Measurement                                                  3026729                                                     
51096                                                        Measurement                                                  3034719                                                     
51097                                                        Measurement                                                  3016038                                                     
51099                                                        Measurement                                                  3001582                                                     
51100                                                        Measurement                                                  3003181                                                     
51101                                                        Measurement                                                  3016750                                                     
51102                                                        Measurement                                                  3037121                                                     
51104                                                        Measurement                                                  3011965                                                     
51105                                                        Measurement                                                  3033526                                                     
51106                                                        Measurement                                                  3017250                                                     
51130                                                        Measurement                                                  3011412                                                     
51131                                                        Measurement                                                  3028167                                                     
51132                                                        Measurement                                                  3001405                                                     
51133                                                        Measurement                                                  3004327                                                     
51138                                                        Measurement                                                  3009041                                                     
51139                                                        Measurement                                                  3015813                                                     
51140                                                        Measurement                                                  3000515                                                     
51143                                                        Measurement                                                  3013498                                                     
51144                                                        Measurement                                                  3004809                                                     
51145                                                        Measurement                                                  3026904                                                     
51146                                                        Measurement                                                  3013869                                                     
51149                                                        Measurement                                                  3011625                                                     
51159                                                        Measurement                                                  3010143                                                     
51164                                                        Measurement                                                  3016228                                                     
51165                                                        Measurement                                                  3016228                                                     
51166                                                        Measurement                                                  3010503                                                     
51174                                                        Measurement                                                  3022533                                                     
51175                                                        Measurement                                                  3011412                                                     
51176                                                        Measurement                                                  3022533                                                     
51180                                                        Measurement                                                  3014037                                                     
51181                                                        Measurement                                                  40757349                                                    
51184                                                        Measurement                                                  3020383                                                     
51185                                                        Measurement                                                  3020383                                                     
51192                                                        Measurement                                                  3003255                                                     
51194                                                        Measurement                                                  3007449                                                     
51196                                                        Measurement                                                  3051714                                                     
51198                                                        Measurement                                                  3017196                                                     
51199                                                        Measurement                                                  3028615                                                     
51200                                                        Measurement                                                  3010457                                                     
51201                                                        Measurement                                                  3008625                                                     
51202                                                        Measurement                                                  3005353                                                     
51203                                                        Measurement                                                  3006109                                                     
51204                                                        Measurement                                                  3005757                                                     
51205                                                        Measurement                                                  3011547                                                     
51206                                                        Measurement                                                  3019250                                                     
51207                                                        Measurement                                                  3024942                                                     
51208                                                        Measurement                                                  3004409                                                     
51209                                                        Measurement                                                  3001850                                                     
51210                                                        Measurement                                                  3002348                                                     
51211                                                        Measurement                                                  3020066                                                     
51212                                                        Measurement                                                  3018738                                                     
51213                                                        Measurement                                                  3000401                                                     
51214                                                        Measurement                                                  3016407                                                     
51219                                                        Measurement                                                  3018760                                                     
51221                                                        Measurement                                                  3023314                                                     
51222                                                        Measurement                                                  3000963                                                     
51223                                                        Measurement                                                  3020784                                                     
51224                                                        Measurement                                                  3001258                                                     
51225                                                        Measurement                                                  3018738                                                     
51226                                                        Measurement                                                  3020428                                                     
51227                                                        Measurement                                                  3005081                                                     
51228                                                        Measurement                                                  40769146                                                    
51229                                                        Measurement                                                  3045452                                                     
51231                                                        Measurement                                                  3002620                                                     
51234                                                        Measurement                                                  40758359                                                    
51236                                                        Measurement                                                  3018760                                                     
51237                                                        Measurement                                                  3022217                                                     
51243                                                        Measurement                                                  3027184                                                     
51244                                                        Measurement                                                  3037511                                                     
51245                                                        Measurement                                                  3037511                                                     
51248                                                        Measurement                                                  3012030                                                     
51249                                                        Measurement                                                  3009744                                                     
51250                                                        Measurement                                                  3023599                                                     
51252                                                        Measurement                                                  3025639                                                     
51253                                                        Measurement                                                  3033575                                                     
51254                                                        Measurement                                                  3011948                                                     
51256                                                        Measurement                                                  3008342                                                     
51257                                                        Measurement                                                  40761514                                                    
51260                                                        Measurement                                                  3027920                                                     
51261                                                        Measurement                                                  3019761                                                     
51265                                                        Measurement                                                  3024929                                                     
51266                                                        Measurement                                                  3033641                                                     
51268                                                        Measurement                                                  3011987                                                     
51269                                                        Measurement                                                  3011587                                                     
51270                                                        Measurement                                                  3002022                                                     
51271                                                        Measurement                                                  3020287                                                     
51272                                                        Measurement                                                  3037201                                                     
51273                                                        Measurement                                                  3036669                                                     
51274                                                        Measurement                                                  3034426                                                     
51275                                                        Measurement                                                  3018677                                                     
51276                                                        Measurement                                                  3003994                                                     
51277                                                        Measurement                                                  3019897                                                     
51278                                                        Measurement                                                  3019880                                                     
51279                                                        Measurement                                                  3020416                                                     
51280                                                        Measurement                                                  3005308                                                     
51282                                                        Measurement                                                  3023520                                                     
51283                                                        Measurement                                                  40763528                                                    
51284                                                        Measurement                                                  3041154                                                     
51287                                                        Measurement                                                  3019880                                                     
51288                                                        Measurement                                                  3013707                                                     
51289                                                        Measurement                                                  3010493                                                     
51290                                                        Measurement                                                  3020412                                                     
51291                                                        Measurement                                                  3020412                                                     
51294                                                        Measurement                                                  3025616                                                     
51296                                                        Measurement                                                  3000456                                                     
51297                                                        Measurement                                                  3036489                                                     
51298                                                        Measurement                                                  3037533                                                     
51299                                                        Measurement                                                  3036035                                                     
51300                                                        Measurement                                                  3000905                                                     
51301                                                        Measurement                                                  3000905                                                     
51338                                                        Measurement                                                  40758359                                                    
51370                                                        Measurement                                                  3022683                                                     
51374                                                        Measurement                                                  3022683                                                     
51383                                                        Measurement                                                  3010144                                                     
51386                                                        Measurement                                                  3017161                                                     
51398                                                        Measurement                                                  3013368                                                     
51404                                                        Measurement                                                  3033894                                                     
51406                                                        Measurement                                                  40762032                                                    
51419                                                        Measurement                                                  3021453                                                     
51424                                                        Measurement                                                  40758359                                                    
51427                                                        Measurement                                                  3028079                                                     
51431                                                        Measurement                                                  3038104                                                     
51433                                                        Measurement                                                  3053291                                                     
51438                                                        Measurement                                                  3010910                                                     
51460                                                        Measurement                                                  3016251                                                     
51463                                                        Measurement                                                  3025255                                                     
51464                                                        Measurement                                                  3018834                                                     
51466                                                        Measurement                                                  3051227                                                     
51469                                                        Measurement                                                  3006490                                                     
51474                                                        Measurement                                                  3037579                                                     
51476                                                        Measurement                                                  3010189                                                     
51479                                                        Measurement                                                  3011483                                                     
51482                                                        Measurement                                                  3022509                                                     
51487                                                        Measurement                                                  3021601                                                     
51491                                                        Measurement                                                  3022621                                                     
51493                                                        Measurement                                                  3035124                                                     
51496                                                        Measurement                                                  3020029                                                     
51497                                                        Measurement                                                  3015023                                                     
51498                                                        Measurement                                                  3000330                                                     
51501                                                        Measurement                                                  3035851                                                     
51502                                                        Measurement                                                  3029154                                                     
51506                                                        Measurement                                                  3007876                                                     
51507                                                        Measurement                                                  3005658                                                     
51508                                                        Measurement                                                  3027162                                                     
51509                                                        Measurement                                                  3036005                                                     
51510                                                        Measurement                                                  3026978                                                     
51512                                                        Measurement                                                  3006175                                                     
51514                                                        Measurement                                                  3037072                                                     
51516                                                        Measurement                                                  3035583                                                     
51519                                                        Measurement                                                  3037244                                                     
51560                                                        Measurement                                                  723473                                                      
51561                                                        Measurement                                                  723474                                                      
51563                                                        Measurement                                                  3005932                                                     
51566                                                        Measurement                                                  3016520                                                     
51567                                                        Measurement                                                  3003985                                                     
51568                                                        Measurement                                                  3043744                                                     
51569                                                        Measurement                                                  3019676                                                     
51570                                                        Measurement                                                  3007359                                                     
51574                                                        Measurement                                                  3003245                                                     
51575                                                        Measurement                                                  3002140                                                     
51576                                                        Measurement                                                  3001793                                                     
51579                                                        Measurement                                                  3022914                                                     
51580                                                        Measurement                                                  3025909                                                     
51581                                                        Measurement                                                  3001599                                                     
51582                                                        Measurement                                                  3028461                                                     
51586                                                        Measurement                                                  3016816                                                     
51587                                                        Measurement                                                  3005356                                                     
51588                                                        Measurement                                                  3013332                                                     
51589                                                        Measurement                                                  3003526                                                     
51590                                                        Measurement                                                  3038184                                                     
51592                                                        Measurement                                                  3027597                                                     
51593                                                        Measurement                                                  3027126                                                     
51595                                                        Measurement                                                  3016311                                                     
51598                                                        Measurement                                                  40757337                                                    
51607                                                        Measurement                                                  3018595                                                     
51613                                                        Measurement                                                  3005131                                                     
51614                                                        Measurement                                                  3021849                                                     
51615                                                        Measurement                                                  3021849                                                     
51618                                                        Measurement                                                  3031599                                                     
51619                                                        Measurement                                                  3015681                                                     
51620                                                        Measurement                                                  3008360                                                     
51623                                                        Measurement                                                  3016407                                                     
51624                                                        Measurement                                                  3021119                                                     
51625                                                        Measurement                                                  3034860                                                     
51626                                                        Measurement                                                  3053209                                                     
51627                                                        Measurement                                                  3047169                                                     
51628                                                        Measurement                                                  3019839                                                     
51629                                                        Measurement                                                  3019839                                                     
51630                                                        Measurement                                                  3023465                                                     
51631                                                        Measurement                                                  3004410                                                     
51632                                                        Measurement                                                  3023709                                                     
51633                                                        Measurement                                                  3023378                                                     
51634                                                        Measurement                                                  3019510                                                     
51635                                                        Measurement                                                  3019510                                                     
51637                                                        Measurement                                                  3011149                                                     
51638                                                        Measurement                                                  3023314                                                     
51639                                                        Measurement                                                  3023314                                                     
51640                                                        Measurement                                                  3000963                                                     
51641                                                        Measurement                                                  3020428                                                     
51642                                                        Measurement                                                  3005446                                                     
51643                                                        Measurement                                                  3020784                                                     
51644                                                        Measurement                                                  3001258                                                     
51645                                                        Measurement                                                  3027484                                                     
51646                                                        Measurement                                                  3018738                                                     
51647                                                        Measurement                                                  3005081                                                     
51648                                                        Measurement                                                  3048505                                                     
51651                                                        Measurement                                                  3034868                                                     
51652                                                        Measurement                                                  3010156                                                     
51653                                                        Measurement                                                  3017675                                                     
51654                                                        Measurement                                                  3026532                                                     
51655                                                        Measurement                                                  3024449                                                     
51666                                                        Measurement                                                  3023871                                                     
51667                                                        Measurement                                                  3027491                                                     
51669                                                        Measurement                                                  3014389                                                     
51673                                                        Measurement                                                  3000265                                                     
51675                                                        Measurement                                                  3022217                                                     
51676                                                        Measurement                                                  3016244                                                     
51677                                                        Measurement                                                  3023103                                                     
51685                                                        Measurement                                                  3004944                                                     
51687                                                        Measurement                                                  3008183                                                     
51689                                                        Measurement                                                  3044883                                                     
51690                                                        Measurement                                                  3037511                                                     
51691                                                        Measurement                                                  3023599                                                     
51692                                                        Measurement                                                  3033533                                                     
51693                                                        Measurement                                                  3028498                                                     
51694                                                        Measurement                                                  3018867                                                     
51695                                                        Measurement                                                  3005895                                                     
51697                                                        Measurement                                                  3013650                                                     
51704                                                        Measurement                                                  3024929                                                     
51705                                                        Measurement                                                  3002248                                                     
51707                                                        Measurement                                                  3027144                                                     
51708                                                        Measurement                                                  3023421                                                     
51709                                                        Measurement                                                  3026501                                                     
51710                                                        Measurement                                                  3021461                                                     
51711                                                        Measurement                                                  3020416                                                     
51713                                                        Measurement                                                  3018447                                                     
51714                                                        Measurement                                                  40760007                                                    
51715                                                        Measurement                                                  3007808                                                     
51716                                                        Measurement                                                  3007808                                                     
51721                                                        Measurement                                                  3027514                                                     
51722                                                        Measurement                                                  3028437                                                     
51723                                                        Measurement                                                  3010937                                                     
51724                                                        Measurement                                                  3013750                                                     
51725                                                        Measurement                                                  3013339                                                     
51726                                                        Measurement                                                  3006573                                                     
51728                                                        Measurement                                                  3000593                                                     
51729                                                        Measurement                                                  3000593                                                     
